"genus","DNA","RNA","ALL","CroplandSize","PastureSize","TotalPopulationSize","Elevation","DistanceToClosestTown","MammalSympatry","AdultBodyMass_g","AdultForearmLen_mm","DietBreadth","LitterSize","LittersPerYear","PopulationGrpSize","TrophicLevel","BodyMassValue","RWL","AR","Forearm","Mass","Pulse","GroupSize","Lifespan","CleanDataSize","CleanQ30","TotalContigLength","ContigCount","neighborSampleNum","neighborBatGenus","neighborDNAvirusMean","neighborRNAvirusMean"
"Rousettus",0,1,1,18.40135002,37.02971649,3291.423096,15,50742.25411,122,83.0575,81.97333333,2.25,1.03125,2,5.156012683,1.25,79.597,47.97856747,5.999999995,82.4516667,90.37499998,2,1000.999999,274.8,7369406476,84.76,25608469,"43141",22,2,0,0.545454545454545
"Mops",2,0,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,4260648507,89.31,203464566,"322269",24,2,0,0
"Mops",3,0,3,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5094978954,90.78,230349546,"382401",24,2,0,0
"Mops",1,0,1,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,10830442191,89.99,110412766,"189742",24,2,0,0
"Mops",2,1,3,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,8994592327,89.66,206295980,"382797",24,2,0,0
"Mops",0,0,0,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,6254585757,88.99,125707111,"270830",24,2,0,0
"Mops",0,0,0,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,11390958241,89.76,549422084,"836785",24,2,0,0
"Mops",2,1,3,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,4133893385,90.38,133395259,"277241",24,2,0,0
"Mops",1,1,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,6514779436,89.79,153937806,"209716",24,2,0,0
"Mops",1,0,1,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,4047071156,90.26,144033333,"305379",24,2,0,0
"Mops",3,1,4,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,7009714975,87.21,76271953,"100808",24,2,0,0
"Mops",1,1,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,3434376524,90.75,70595435,"107825",24,2,0,0
"Mops",2,2,4,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5458389259,89.38,148431009,"256317",24,2,0,0
"Mops",0,1,1,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,2298635821,88.15,14986220,"18671",24,2,0,0
"Mops",0,0,0,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,7128697102,87.63,62485182,"88793",24,2,0,0
"Mops",2,0,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,9478727499,87.33,97733470,"207267",24,2,0,0
"Mops",2,1,3,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5338715066,89.42,141378521,"224554",24,2,0,0
"Mops",2,1,3,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,8730471348,87.37,108433043,"194569",24,2,0,0
"Mops",3,1,4,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5811269239,86.83,36056968,"57599",24,2,0,0
"Mops",2,0,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,5984622291,87.39,68847832,"92088",24,2,0,0
"Mops",2,0,2,48.5924263,13.45393085,240059.5938,1742,4044.573958,136,26.74777778,42.5175,1,1.02,1.8,4.094344562,3,23.96533333,56.37978716,9,51.4066667,29.42,2,60,120,8055724751,87.5,160739594,"282232",24,2,0,0
