"root_ID","neighbor","distance"
"BAT0643","BAT604",0
"BAT0643","BAT605",0
"BAT0643","BAT606",0
"BAT0643","BAT607",0
"BAT0643","BAT608",0
"BAT0643","BAT609",0
"BAT0643","BAT610",0
"BAT0643","BAT611",0
"BAT0643","BAT612",0
"BAT0643","BAT613",0
"BAT0643","BAT614",0
"BAT0643","BAT615",0
"BAT0643","BAT616",0
"BAT0643","BAT617",0
"BAT0643","BAT618",0
"BAT0643","BAT619",0
"BAT0643","BAT620",0
"BAT0643","BAT621",0
"BAT0643","BAT624",0
"BAT0643","BAT625",0
"BAT0643","BAT626",0
"BAT0643","BAT627",0
"BAT0643","BAT630",0
"BAT0643","BAT631",0
"BAT0643","BAT632",0
"BAT0644","BAT0633",0
"BAT0644","BAT0634",0
"BAT0644","BAT0635",0
"BAT0644","BAT0636",0
"BAT0644","BAT0637",0
"BAT0644","BAT0638",0
"BAT0644","BAT0639",0
"BAT0644","BAT0640",0
"BAT0644","BAT0641",0
"BAT0644","BAT0642",0
"BAT0644","BAT0643",0
"BAT0644","BAT0645",0
"BAT0644","BAT0646",0
"BAT0644","BAT0647",0
"BAT0644","BAT0648",0
"BAT0644","BAT0649",0
"BAT0644","BAT0650",0
"BAT0644","BAT0651",0
"BAT0644","BAT0652",0
"BAT0644","BAT582",0
"BAT0644","BAT591",0
"BAT0644","BAT592",0
"BAT0644","BAT593",0
"BAT0644","BAT594",0
"BAT0644","BAT595",0
"BAT0644","BAT596",0
"BAT0644","BAT597",0
"BAT0644","BAT598",0
"BAT0644","BAT599",0
"BAT0644","BAT600",0
"BAT0644","BAT601",0
"BAT0644","BAT602",0
"BAT0644","BAT603",0
"BAT0644","BAT604",0
"BAT0644","BAT605",0
"BAT0644","BAT606",0
"BAT0644","BAT607",0
"BAT0644","BAT608",0
"BAT0644","BAT609",0
"BAT0644","BAT610",0
"BAT0644","BAT611",0
"BAT0644","BAT612",0
"BAT0644","BAT613",0
"BAT0644","BAT614",0
"BAT0644","BAT615",0
"BAT0644","BAT616",0
"BAT0644","BAT617",0
"BAT0644","BAT618",0
"BAT0644","BAT619",0
"BAT0644","BAT620",0
"BAT0644","BAT621",0
"BAT0644","BAT624",0
"BAT0644","BAT625",0
"BAT0644","BAT626",0
"BAT0644","BAT627",0
"BAT0644","BAT630",0
"BAT0644","BAT631",0
"BAT0644","BAT632",0
"BAT0645","BAT0633",0
"BAT0645","BAT0634",0
"BAT0645","BAT0635",0
"BAT0645","BAT0636",0
"BAT0645","BAT0637",0
"BAT0645","BAT0638",0
"BAT0645","BAT0639",0
"BAT0645","BAT0640",0
"BAT0645","BAT0641",0
"BAT0645","BAT0642",0
"BAT0645","BAT0643",0
"BAT0645","BAT0644",0
"BAT0645","BAT0646",0
"BAT0645","BAT0647",0
"BAT0645","BAT0648",0
"BAT0645","BAT0649",0
"BAT0645","BAT0650",0
"BAT0645","BAT0651",0
"BAT0645","BAT0652",0
"BAT0645","BAT582",0
"BAT0645","BAT591",0
"BAT0645","BAT592",0
"BAT0645","BAT593",0
"BAT0645","BAT594",0
"BAT0645","BAT595",0
"BAT0645","BAT596",0
"BAT0645","BAT597",0
"BAT0645","BAT598",0
"BAT0645","BAT599",0
"BAT0645","BAT600",0
"BAT0645","BAT601",0
"BAT0645","BAT602",0
"BAT0645","BAT603",0
"BAT0645","BAT604",0
"BAT0645","BAT605",0
"BAT0645","BAT606",0
"BAT0645","BAT607",0
"BAT0645","BAT608",0
"BAT0645","BAT609",0
"BAT0645","BAT610",0
"BAT0645","BAT611",0
"BAT0645","BAT612",0
"BAT0645","BAT613",0
"BAT0645","BAT614",0
"BAT0645","BAT615",0
"BAT0645","BAT616",0
"BAT0645","BAT617",0
"BAT0645","BAT618",0
"BAT0645","BAT619",0
"BAT0645","BAT620",0
"BAT0645","BAT621",0
"BAT0645","BAT624",0
"BAT0645","BAT625",0
"BAT0645","BAT626",0
"BAT0645","BAT627",0
"BAT0645","BAT630",0
"BAT0645","BAT631",0
"BAT0645","BAT632",0
"BAT0646","BAT0633",0
"BAT0646","BAT0634",0
"BAT0646","BAT0635",0
"BAT0646","BAT0636",0
"BAT0646","BAT0637",0
"BAT0646","BAT0638",0
"BAT0646","BAT0639",0
"BAT0646","BAT0640",0
"BAT0646","BAT0641",0
"BAT0646","BAT0642",0
"BAT0646","BAT0643",0
"BAT0646","BAT0644",0
"BAT0646","BAT0645",0
"BAT0646","BAT0647",0
"BAT0646","BAT0648",0
"BAT0646","BAT0649",0
"BAT0646","BAT0650",0
"BAT0646","BAT0651",0
"BAT0646","BAT0652",0
"BAT0646","BAT582",0
"BAT0646","BAT591",0
"BAT0646","BAT592",0
"BAT0646","BAT593",0
"BAT0646","BAT594",0
"BAT0646","BAT595",0
"BAT0646","BAT596",0
"BAT0646","BAT597",0
"BAT0646","BAT598",0
"BAT0646","BAT599",0
"BAT0646","BAT600",0
"BAT0646","BAT601",0
"BAT0646","BAT602",0
"BAT0646","BAT603",0
