sample_id,CleanDataSize,CleanQ30,TotalContigLength,ContigCount
BAT417,1544581854,96.25,24752526,48495
BAT418,6888957191,95.16,724303739,1130434
BAT428,2773927772,83.75,1980956,4161
BAT47,3113996879,85.32,766806,1641
BAT498,3606210537,94.81,218119080,397346
BAT499,7626607722,90.95,262767698,464811
BAT5,8242999233,89.09,158124686,303370
BAT500,9346903854,93.77,597835832,934624
BAT501,614560195,95.43,14105290,13763
BAT502,10708730898,96.37,1088801606,1513949
BAT503,7409429113,96.99,412428619,590936
BAT504,8810347674,90.49,65289532,139294
BAT505,7790575661,95.4,567780088,827303
BAT506,1249662332,91.53,4488020,9225
BAT507,1115872726,94.8,22030774,25285
BAT508,838358716,85.98,3973899,5913
BAT509,846123821,94.12,23070338,42586
BAT510,760364996,89.98,22921253,36475
BAT511,2114210410,95.98,120056711,218972
BAT512,621691484,96.05,11381025,17065
BAT513,14467850078,91.66,296068570,543612
BAT514,1591261463,95.97,73924033,147549
BAT515,6124123896,96.15,404490092,559972
BAT516,2417269899,93.09,128261844,248115
BAT517,1023764597,96.2,31187735,55398
BAT582,2172085031,83.66,4461363,9190
BAT591,5128712474,95.29,304952190,468931
BAT592,3367955259,91.8,77660077,141826
BAT593,8208251607,91.07,437905719,587065
BAT594,8329816593,92.52,325888433,604647
BAT595,6335126223,96.08,533635471,718955
BAT596,1481342633,96.39,46432735,86845
BAT597,3797971703,91.31,104075525,226197
BAT598,4901387359,92.3,441842316,610409
BAT599,559453215,92.79,17404259,34835
BAT6,17732595208,87.5,556491068,876604
BAT600,2485583281,95,158347058,292255
BAT601,5101300052,94.71,509043044,713774
BAT602,7743663117,94.78,655679988,741197
BAT603,12835405003,91.76,491764686,682296
BAT604,2064037314,90.29,33479528,70818
BAT605,5408385509,90.29,113034099,240821
BAT606,6052432503,92.08,588884982,675348
BAT607,3359564137,93.3,113811343,120716
BAT608,4875127892,92.79,384398339,553117
BAT609,2172142121,93.11,42003247,92836
BAT610,2076334206,89.43,17073085,34531
BAT611,5319156107,88.2,142426416,309414
BAT612,5799665863,87.06,113311770,241776
BAT613,6793369226,91.62,381297902,802284
BAT614,3823966122,88.66,59220241,109013
BAT615,12561418762,89.47,166693526,316698
BAT616,4232088657,89.55,65017043,128671
BAT617,10958664349,90.62,187178233,144148
BAT618,1669087279,93.89,40210368,63560
BAT619,5039762569,93.86,165863286,117077
BAT620,8863240131,90.65,89047095,200894
BAT621,4423252428,92.56,96079017,176862
BAT624,3935839756,93.16,143650921,145753
BAT625,6418708543,91.15,66349400,117683
BAT626,5095933297,91.5,54221733,91649
BAT627,7918892082,91.73,155057589,133575
BAT630,7528949793,90.77,71475451,148649
BAT631,3302846278,90.75,48328838,90994
BAT632,4521155468,89.5,65263379,142383
BAT7,14980253732,85.08,86838851,145462
BAT781,120352070,83.71,289176,741
BAT784,306911045,86.45,1135903,2014
BAT8,18326714880,85.53,151067873,249829
BAT854,1209832749,86.22,1966026,4287
BAT895,1102908807,84.72,5899687,8213
BAT899,885062161,85.27,3043700,6101
BAT9,21498467902,86.88,558152416,862664
BAT905,1791046693,86.95,6639033,7576
BAT906,1934447386,84.63,4887742,8269
BAT908,2491904284,85.07,8764622,9345
BAT936,4238125554,85.72,17522970,28304
BATORAL10R,3666148301,88.7,165068772,337474
BATORAL10VTM,21642194110,91,963014813,1301082
BATORAL11R,338876411,90.21,9241773,19606
BATORAL11VTM,26121579294,90.63,1253600874,1618679
BATORAL12R,887873566,88.45,22370567,51072
BATORAL12VTM,12240611988,88.33,649714824,903139
BATORAL13R,901248853,88.53,18039729,36967
BATORAL13VTM,13546550608,88.52,573581246,948529
BATORAL14R,699644695,89.96,16317192,38185
BATORAL14VTM,18557244242,89.23,1503060631,1550950
BATORAL15R,608302480,87.44,11171568,24816
BATORAL15VTM,14930865363,89.75,1016469601,1577972
BATORAL16R,689321160,86.43,16343114,37659
BATORAL16VTM,35742931090,91.54,1712616861,1369197
BATORAL17R,1304878619,88.84,42612243,99084
BATORAL17VTM,19906139925,89.09,1127130285,1496981
BATORAL18R,814763581,90.89,29698720,70226
BATORAL18VTM,7083114103,89.77,372918404,664728
BATORAL19R,301770827,90.15,7926734,18114
BATORAL19VTM,19585530385,90.83,1239919829,1645592
BATORAL1R,1975302002,89.61,71627036,158956
BATORAL1VTM,8844198946,90.51,576503093,1083738
BATORAL20R,511132985,88.58,13175656,27476
BATORAL20VTM,16568333332,91.16,882585986,1258035
BATORAL21R,2311631206,88.77,83610136,183016
BATORAL21VTM,12681457848,90.92,787766229,1066525
BATORAL22R,1033571256,87.05,26727562,60996
BATORAL22VTM,11248355724,91.67,617305778,861083
BATORAL23R,448538848,88.31,8270344,17417
BATORAL23VTM,20986337286,90.17,1176508945,1509935
